,robot,feature,sub_scale,meaning,answers,userID,age,gender,education,side,rationality
3,participant,NARS,S1,Situations and Interactions with Robots,0.2333333333333333,R_1Ny828OL3kKEX04,24,2.0,3.0,,
4,participant,NARS,S2,Social Influence of Robots,0.4,R_1Ny828OL3kKEX04,24,2.0,3.0,,
5,participant,NARS,S3,Emotions in Interaction with Robots,0.8666666666666667,R_1Ny828OL3kKEX04,24,2.0,3.0,,
6,participant,BFI,S1,Extraversion,0.6499999999999999,R_1Ny828OL3kKEX04,24,2.0,3.0,,
7,participant,BFI,S2,Agreeableness,0.8222222222222222,R_1Ny828OL3kKEX04,24,2.0,3.0,,
8,participant,BFI,S3,Conscientiousness,0.911111111111111,R_1Ny828OL3kKEX04,24,2.0,3.0,,
9,participant,BFI,S4,Neuroticism,0.32499999999999996,R_1Ny828OL3kKEX04,24,2.0,3.0,,
10,participant,BFI,S5,Openness,0.9,R_1Ny828OL3kKEX04,24,2.0,3.0,,
11,red,Godspeed,S1,Anthropomorphism,0.8500000000000001,R_1Ny828OL3kKEX04,24,2.0,3.0,right,rational
12,red,Godspeed,S2,Animacy,0.8666666666666666,R_1Ny828OL3kKEX04,24,2.0,3.0,right,rational
13,red,Godspeed,S3,Likeability,0.96,R_1Ny828OL3kKEX04,24,2.0,3.0,right,rational
14,red,Godspeed,S4,Perceived Intelligence,0.8400000000000001,R_1Ny828OL3kKEX04,24,2.0,3.0,right,rational
15,red,Godspeed,S5,Perceived Safety,0.9333333333333332,R_1Ny828OL3kKEX04,24,2.0,3.0,right,rational
16,blue,Godspeed,S1,Anthropomorphism,0.75,R_1Ny828OL3kKEX04,24,2.0,3.0,left,irrational
17,blue,Godspeed,S2,Animacy,0.8333333333333334,R_1Ny828OL3kKEX04,24,2.0,3.0,left,irrational
18,blue,Godspeed,S3,Likeability,0.5599999999999999,R_1Ny828OL3kKEX04,24,2.0,3.0,left,irrational
19,blue,Godspeed,S4,Perceived Intelligence,0.9199999999999999,R_1Ny828OL3kKEX04,24,2.0,3.0,left,irrational
20,blue,Godspeed,S5,Perceived Safety,0.7333333333333334,R_1Ny828OL3kKEX04,24,2.0,3.0,left,irrational
21,red,r_preference,summary,Count (Normalized) participant chose this robot,0.5714285714285714,R_1Ny828OL3kKEX04,24,2.0,3.0,right,rational
22,blue,r_preference,summary,Count (Normalized) participant chose this robot,0.42857142857142855,R_1Ny828OL3kKEX04,24,2.0,3.0,left,irrational
23,red,q_preference,prefer,Which robot would you prefer?,1.0,R_1Ny828OL3kKEX04,24,2.0,3.0,left,irrational
24,red,q_preference,portfolio,Which robot would you trust to manage your investments portfolio?,1.0,R_1Ny828OL3kKEX04,24,2.0,3.0,left,irrational
25,blue,q_preference,member,Which robot do you think will serve as a good jury member?,2.0,R_1Ny828OL3kKEX04,24,2.0,3.0,left,irrational
26,red,q_preference,analyst,Which robot do you think will be a better analyst?,1.0,R_1Ny828OL3kKEX04,24,2.0,3.0,left,irrational
27,red,q_preference,bartender,Which robot would you like as a bartender?,1.0,R_1Ny828OL3kKEX04,24,2.0,3.0,left,irrational
28,red,q_preference,summary,Count (Normalized) participant chose this robot,0.8,R_1Ny828OL3kKEX04,24,2.0,3.0,right,rational
33,red,preference,average,,0.6857142857142857,R_1Ny828OL3kKEX04,24,2.0,3.0,right,rational
34,red,preference,std,,0.16162440712835377,R_1Ny828OL3kKEX04,24,2.0,3.0,right,rational
35,blue,preference,average,,0.42857142857142855,R_1Ny828OL3kKEX04,24,2.0,3.0,left,irrational
36,blue,preference,std,,,R_1Ny828OL3kKEX04,24,2.0,3.0,left,irrational
3,participant,NARS,S1,Situations and Interactions with Robots,0.4666666666666666,R_1gvGFbzDteCjD5W,32,2.0,5.0,,
4,participant,NARS,S2,Social Influence of Robots,0.5599999999999999,R_1gvGFbzDteCjD5W,32,2.0,5.0,,
5,participant,NARS,S3,Emotions in Interaction with Robots,0.7333333333333334,R_1gvGFbzDteCjD5W,32,2.0,5.0,,
6,participant,BFI,S1,Extraversion,0.6749999999999999,R_1gvGFbzDteCjD5W,32,2.0,5.0,,
7,participant,BFI,S2,Agreeableness,0.6444444444444444,R_1gvGFbzDteCjD5W,32,2.0,5.0,,
